nm_icimp,
nm_conce,
nm_icimf,
nm_ctaco,
nm_gacon,
nm_entid,
SO_AREAS,
gn_empre,
nm_contr,
gn_ccost,
SO_CODIA,
bi_cargo,
dm_diasn,
nm_incap,
nm_ausen,
nm_mause,
nm_autol,
nm_gacco,
NM_DISEV,
nm_acumu,
NM_PROPA,
nm_bepro,
SL_REQPE,
RL_MOTSO,
